Wave[A],Flux[ergs A-1 cm-2 s-2](Orig),Flux[erg A-1 cm-2 s-2](cont+line+filt)
6817.5166015625,1.57703574175826E-16,4.09248113118099E-16
6816.42626953125,3.81440756070263E-16,4.09409983159172E-16
6815.3359375,2.70068622383087E-16,4.09571516793758E-16
6814.24560546875,4.17003047019627E-16,4.09732714249835E-16
6813.1552734375,3.65162326894512E-16,4.09893575755383E-16
6812.06494140625,2.53166011540363E-16,4.10054101538383E-16
6810.974609375,2.71334236954724E-16,4.10214291826817E-16
6809.88427734375,5.38121385761047E-16,4.10374146848668E-16
6808.7939453125,4.97425597812963E-16,4.10533666831916E-16
6807.70361328125,2.20831885796298E-16,4.1069285200454E-16
6806.61328125,5.11895157248443E-16,4.1085170259452E-16
6805.52294921875,4.49289949353394E-16,4.11010218829843E-16
6804.4326171875,4.90923770262861E-16,4.1116840093848E-16
6803.34228515625,4.14168553170292E-16,4.11326249148425E-16
6802.251953125,3.20626111857075E-16,4.11483763687648E-16
6801.16162109375,2.79803083237284E-16,4.11640944784139E-16
6800.0712890625,3.60545223090923E-16,4.11797792665868E-16
6798.98095703125,4.51177203169673E-16,4.11954307560826E-16
6797.89111328125,5.62097664919823E-16,4.12110419828692E-16
6796.80078125,5.24167893942408E-16,4.12266269582909E-16
6795.71044921875,3.45527274231893E-16,4.12421787034192E-16
6794.6201171875,2.32216611677207E-16,4.12576972410524E-16
6793.52978515625,3.97904688549604E-16,4.12731825939881E-16
6792.43994140625,4.37906522256337E-16,4.12886278725192E-16
6791.349609375,5.14501189988873E-16,4.13040469392905E-16
6790.25927734375,4.05840442294245E-16,4.13194328897486E-16
6789.16943359375,3.1167938061475E-16,4.13347788786557E-16
6788.0791015625,5.6002752610232E-16,4.1350098679687E-16
6786.98876953125,4.46486875132446E-16,4.13653854327895E-16
6785.89892578125,5.11461242121899E-16,4.1380632337102E-16
6784.80859375,3.88327157754242E-16,4.1395853077515E-16
6783.71826171875,5.59889809574171E-16,4.14110408383827E-16
6782.62841796875,4.64528008105865E-16,4.14261888631307E-16
6781.5380859375,3.44814758057597E-16,4.1441310748047E-16
6780.4482421875,4.25398454663333E-16,4.14563929718995E-16
6779.35791015625,4.56973934465864E-16,4.14714490720155E-16
6778.26806640625,4.41083557111867E-16,4.14864655860837E-16
6777.177734375,4.35397818454339E-16,4.15014559925511E-16
6776.087890625,2.94450909579773E-16,4.15164068879454E-16
6774.99755859375,3.95138490702108E-16,4.15313316919156E-16
6773.90771484375,4.24650034438822E-16,4.15462170597467E-16
6772.8173828125,5.25919322937455E-16,4.15610763523716E-16
6771.7275390625,4.64061671910939E-16,4.15758962837503E-16
6770.63720703125,3.9123042273796E-16,4.15906901561812E-16
6769.54736328125,5.06827453092738E-16,4.16054447422182E-16
6768.45751953125,5.19281313665258E-16,4.16201666970586E-16
6767.3671875,4.63221928961568E-16,4.16348626174131E-16
6766.27734375,3.87696595546897E-16,4.16495193635678E-16
6765.1875,5.29585868279953E-16,4.16641435468383E-16
6764.09716796875,4.33967591411499E-16,4.16787417201771E-16
6763.00732421875,3.53047853895111E-16,4.16933008314176E-16
6761.91748046875,3.39692094257342E-16,4.17078274480868E-16
6760.8271484375,4.46511196889433E-16,4.17223280794704E-16
6759.7373046875,4.42232458484307E-16,4.17367897607656E-16
6758.6474609375,5.09335916019741E-16,4.17512190158018E-16
6757.5576171875,6.5396920536615E-16,4.17656158673468E-16
6756.46728515625,3.98359178194669E-16,4.17799867666089E-16
6755.37744140625,4.1408457845625E-16,4.17943188649809E-16
6754.28759765625,5.27228592793101E-16,4.18086186281745E-16
6753.19775390625,4.93022789374562E-16,4.18228860789565E-16
6752.10791015625,4.20566466762541E-16,4.18371212400944E-16
6751.01806640625,4.99171327864461E-16,4.18513241343563E-16
6749.92822265625,3.5615911399531E-16,4.18654947845092E-16
6748.837890625,4.34237028842136E-16,4.18796395405247E-16
6747.748046875,3.59852181836387E-16,4.18937457563415E-16
6746.658203125,5.23957897269427E-16,4.19078197963623E-16
6745.568359375,3.93112116577035E-16,4.19218616833542E-16
6744.478515625,5.76024090947656E-16,4.19358714400849E-16
6743.388671875,4.51740327878365E-16,4.19498490893221E-16
6742.298828125,5.61417891421731E-16,4.19637946538327E-16
6741.208984375,3.06936121841579E-16,4.19777081563848E-16
6740.119140625,3.9652409278468E-16,4.19915896197454E-16
6739.029296875,4.95224880925706E-16,4.20054390666823E-16
6737.939453125,3.9125986198567E-16,4.20192565199631E-16
6736.849609375,4.445059954999E-16,4.20330420023549E-16
6735.759765625,4.17444347214679E-16,4.20467955366253E-16
6734.67041015625,4.8298270491578E-16,4.20605110050126E-16
6733.58056640625,4.44870148639977E-16,4.20742007256311E-16
6732.49072265625,3.59271340242464E-16,4.20878585664204E-16
